x                   u                   v                   e
0.10889111          0.55453103          0.55452642         -5.08005157
0.10989011          0.55687780          0.55687317         -5.08005157
0.11088911          0.55919131          0.55918666         -5.08005157
0.11188811          0.56147190          0.56146723         -5.08005157
0.11288711          0.56371989          0.56371520         -5.08005157
0.11388611          0.56593560          0.56593089         -5.08005157
0.11488511          0.56811935          0.56811463         -5.08005157
0.11588412          0.57027147          0.57026673         -5.08005157
0.11688312          0.57239227          0.57238751         -5.08005157
0.11788212          0.57448206          0.57447728         -5.08005157
0.11888112          0.57654114          0.57653634         -5.08005157
0.11988012          0.57856982          0.57856501         -5.08005157
0.12087912          0.58056841          0.58056358         -5.08005157
0.12187812          0.58253720          0.58253236         -5.08005157
0.12287712          0.58447650          0.58447164         -5.08005157
0.12387612          0.58638658          0.58638171         -5.08005157
0.12487512          0.58826775          0.58826286         -5.08005157
0.12587413          0.59012029          0.59011538         -5.08005157
0.12687313          0.59194449          0.59193956         -5.08005157
0.12787213          0.59374062          0.59373568         -5.08005157
0.12887113          0.59550897          0.59550401         -5.08005157
0.12987013          0.59724981          0.59724484         -5.08005157
0.13086913          0.59896341          0.59895843         -5.08005157
0.13186813          0.60065005          0.60064506         -5.08005157
0.13286713          0.60231000          0.60230499         -5.08005157
0.13386613          0.60394352          0.60393849         -5.08005157
0.13486513          0.60555087          0.60554583         -5.08005157
0.13586414          0.60713231          0.60712726         -5.08005157
0.13686314          0.60868810          0.60868304         -5.08005157
0.13786214          0.61021850          0.61021342         -5.08005157
0.13886114          0.61172375          0.61171866         -5.08005157
0.13986014          0.61320411          0.61319901         -5.08005157
0.14085914          0.61465983          0.61465472         -5.08005157
0.14185814          0.61609115          0.61608602         -5.08005157
0.14285714          0.61749831          0.61749317         -5.08005157
0.14385614          0.61888155          0.61887640         -5.08005157
0.14485514          0.62024111          0.62023595         -5.08005157
0.14585415          0.62157723          0.62157206         -5.08005157
0.14685315          0.62289013          0.62288495         -5.08005157
0.14785215          0.62418006          0.62417487         -5.08005157
0.14885115          0.62544723          0.62544203         -5.08005157
0.14985015          0.62669188          0.62668667         -5.08005157
0.15084915          0.62791423          0.62790901         -5.08005157
0.15184815          0.62911449          0.62910926         -5.08005157
0.15284715          0.63029290          0.63028766         -5.08005157
0.15384615          0.63144966          0.63144441         -5.08005157
0.15484515          0.63258499          0.63257973         -5.08005157
0.15584416          0.63369911          0.63369384         -5.08005157
0.15684316          0.63479222          0.63478694         -5.08005157
0.15784216          0.63586454          0.63585925         -5.08005157
0.15884116          0.63691627          0.63691097         -5.08005157
0.15984016          0.63794761          0.63794230         -5.08005157
0.16083916          0.63895877          0.63895346         -5.08005157
0.16183816          0.63994995          0.63994463         -5.08005157
0.16283716          0.64092135          0.64091602         -5.08005157
0.16383616          0.64187316          0.64186782         -5.08005157
0.16483516          0.64280558          0.64280024         -5.08005157
0.16583417          0.64371881          0.64371345         -5.08005157
0.16683317          0.64461302          0.64460766         -5.08005157
0.16783217          0.64548842          0.64548305         -5.08005157
0.16883117          0.64634518          0.64633981         -5.08005157
0.16983017          0.64718350          0.64717812         -5.08005157
0.17082917          0.64800356          0.64799817         -5.08005157
0.17182817          0.64880553          0.64880013         -5.08005157
0.17282717          0.64958960          0.64958420         -5.08005157
0.17382617          0.65035595          0.65035054         -5.08005157
0.17482517          0.65110475          0.65109934         -5.08005157
0.17582418          0.65183618          0.65183076         -5.08005157
0.17682318          0.65255041          0.65254498         -5.08005157
0.17782218          0.65324761          0.65324217         -5.08005157
0.17882118          0.65392794          0.65392250         -5.08005157
0.17982018          0.65459159          0.65458614         -5.08005157
0.18081918          0.65523871          0.65523326         -5.08005157
0.18181818          0.65586946          0.65586401         -5.08005157
0.18281718          0.65648402          0.65647856         -5.08005157
0.18381618          0.65708253          0.65707707         -5.08005157
0.18481518          0.65766517          0.65765970         -5.08005157
0.18581419          0.65823209          0.65822661         -5.08005157
0.18681319          0.65878344          0.65877796         -5.08005157
0.18781219          0.65931938          0.65931390         -5.08005157
0.18881119          0.65984006          0.65983458         -5.08005157
0.18981019          0.66034564          0.66034015         -5.08005157
0.19080919          0.66083626          0.66083077         -5.08005157
0.19180819          0.66131208          0.66130658         -5.08005157
0.19280719          0.66177324          0.66176773         -5.08005157
0.19380619          0.66221988          0.66221437         -5.08005157
0.19480519          0.66265215          0.66264664         -5.08005157
0.19580420          0.66307020          0.66306468         -5.08005157
0.19680320          0.66347416          0.66346864         -5.08005157
0.19780220          0.66386417          0.66385865         -5.08005157
0.19880120          0.66424038          0.66423485         -5.08005157
0.19980020          0.66460292          0.66459739         -5.08005157
0.20079920          0.66495192          0.66494639         -5.08005157
0.20179820          0.66528753          0.66528200         -5.08005157
0.20279720          0.66560987          0.66560433         -5.08005157
0.20379620          0.66591907          0.66591354         -5.08005157
0.20479520          0.66621528          0.66620974         -5.08005157
0.20579421          0.66649860          0.66649306         -5.08005157
0.20679321          0.66676919          0.66676364         -5.08005157
0.20779221          0.66702715          0.66702160         -5.08005157
0.20879121          0.66727262          0.66726707         -5.08005157
0.20979021          0.66750572          0.66750016         -5.08005157
0.21078921          0.66772657          0.66772101         -5.08005157
0.21178821          0.66793529          0.66792974         -5.08005157
0.21278721          0.66813201          0.66812646         -5.08005157
0.21378621          0.66831685          0.66831129         -5.08005157
0.21478521          0.66848992          0.66848436         -5.08005157
0.21578422          0.66865134          0.66864578         -5.08005157
0.21678322          0.66880122          0.66879566         -5.08005157
0.21778222          0.66893969          0.66893412         -5.08005157
0.21878122          0.66906684          0.66906128         -5.08005157
0.21978022          0.66918281          0.66917724         -5.08005157
0.22077922          0.66928769          0.66928212         -5.08005157
0.22177822          0.66938160          0.66937603         -5.08005157
0.22277722          0.66946465          0.66945908         -5.08005157
0.22377622          0.66953694          0.66953137         -5.08005157
0.22477522          0.66959858          0.66959301         -5.08005157
0.22577423          0.66964968          0.66964411         -5.08005157
0.22677323          0.66969034          0.66968477         -5.08005157
0.22777223          0.66972067          0.66971510         -5.08005157
0.22877123          0.66974076          0.66973519         -5.08005157
0.22977023          0.66975073          0.66974516         -5.08005157
0.23076923          0.66975067          0.66974510         -5.08005157
0.23176823          0.66974067          0.66973510         -5.08005157
0.23276723          0.66972085          0.66971528         -5.08005157
0.23376623          0.66969130          0.66968573         -5.08005157
0.23476523          0.66965210          0.66964654         -5.08005157
0.23576424          0.66960337          0.66959780         -5.08005157
0.23676324          0.66954520          0.66953963         -5.08005157
0.23776224          0.66947767          0.66947210         -5.08005157
0.23876124          0.66940088          0.66939531         -5.08005157
0.23976024          0.66931493          0.66930936         -5.08005157
0.24075924          0.66921990          0.66921433         -5.08005157
0.24175824          0.66911588          0.66911032         -5.08005157
0.24275724          0.66900297          0.66899741         -5.08005157
0.24375624          0.66888125          0.66887569         -5.08005157
0.24475524          0.66875081          0.66874525         -5.08005157
0.24575425          0.66861174          0.66860618         -5.08005157
0.24675325          0.66846412          0.66845856         -5.08005157
0.24775225          0.66830804          0.66830248         -5.08005157
0.24875125          0.66814358          0.66813802         -5.08005157
0.24975025          0.66797083          0.66796527         -5.08005157
0.25074925          0.66778986          0.66778431         -5.08005157
0.25174825          0.66760076          0.66759521         -5.08005157
0.25274725          0.66740361          0.66739806         -5.08005157
0.25374625          0.66719849          0.66719294         -5.08005156
0.25474525          0.66698548          0.66697993         -5.08005156
0.25574426          0.66676466          0.66675911         -5.08005156
0.25674326          0.66653610          0.66653056         -5.08005156
0.25774226          0.66629989          0.66629434         -5.08005156
0.25874126          0.66605609          0.66605055         -5.08005156
0.25974026          0.66580479          0.66579925         -5.08005156
0.26073926          0.66554605          0.66554051         -5.08005156
0.26173826          0.66527996          0.66527442         -5.08005156
0.26273726          0.66500658          0.66500105         -5.08005156
0.26373626          0.66472599          0.66472046         -5.08005156
0.26473526          0.66443825          0.66443273         -5.08005156
0.26573427          0.66414345          0.66413793         -5.08005156
0.26673327          0.66384165          0.66383613         -5.08005156
0.26773227          0.66353292          0.66352740         -5.08005156
0.26873127          0.66321733          0.66321181         -5.08005156
0.26973027          0.66289494          0.66288943         -5.08005156
0.27072927          0.66256583          0.66256032         -5.08005156
0.27172827          0.66223007          0.66222456         -5.08005156
0.27272727          0.66188771          0.66188220         -5.08005156
0.27372627          0.66153882          0.66153332         -5.08005156
0.27472527          0.66118347          0.66117797         -5.08005156
0.27572428          0.66082172          0.66081623         -5.08005156
0.27672328          0.66045364          0.66044815         -5.08005156
0.27772228          0.66007929          0.66007380         -5.08005156
0.27872128          0.65969873          0.65969324         -5.08005156
0.27972028          0.65931202          0.65930654         -5.08005156
0.28071928          0.65891923          0.65891375         -5.08005156
0.28171828          0.65852041          0.65851493         -5.08005156
0.28271728          0.65811562          0.65811015         -5.08005156
0.28371628          0.65770493          0.65769946         -5.08005156
0.28471528          0.65728839          0.65728293         -5.08005156
0.28571429          0.65686607          0.65686060         -5.08005156
0.28671329          0.65643801          0.65643255         -5.08005156
0.28771229          0.65600427          0.65599882         -5.08005156
0.28871129          0.65556492          0.65555947         -5.08005156
0.28971029          0.65512000          0.65511456         -5.08005156
0.29070929          0.65466958          0.65466414         -5.08005156
0.29170829          0.65421371          0.65420826         -5.08005156
0.29270729          0.65375243          0.65374700         -5.08005156
0.29370629          0.65328581          0.65328038         -5.08005156
0.29470529          0.65281390          0.65280847         -5.08005156
0.29570430          0.65233675          0.65233133         -5.08005156
0.29670330          0.65185442          0.65184900         -5.08005156
0.29770230          0.65136695          0.65136153         -5.08005156
0.29870130          0.65087439          0.65086898         -5.08005156
0.29970030          0.65037680          0.65037139         -5.08005156
0.30069930          0.64987423          0.64986882         -5.08005156
0.30169830          0.64936672          0.64936132         -5.08005156
0.30269730          0.64885433          0.64884893         -5.08005156
0.30369630          0.64833710          0.64833171         -5.08005156
0.30469530          0.64781508          0.64780970         -5.08005156
0.30569431          0.64728833          0.64728294         -5.08005156
0.30669331          0.64675687          0.64675149         -5.08005156
0.30769231          0.64622077          0.64621540         -5.08005156
0.30869131          0.64568007          0.64567470         -5.08005156
0.30969031          0.64513482          0.64512945         -5.08005156
0.31068931          0.64458505          0.64457969         -5.08005156
0.31168831          0.64403082          0.64402547         -5.08005156
0.31268731          0.64347217          0.64346682         -5.08005156
0.31368631          0.64290914          0.64290380         -5.08005156
0.31468531          0.64234178          0.64233644         -5.08005156
0.31568432          0.64177013          0.64176479         -5.08005156
0.31668332          0.64119423          0.64118890         -5.08005156
0.31768232          0.64061413          0.64060880         -5.08005156
0.31868132          0.64002986          0.64002454         -5.08005156
0.31968032          0.63944147          0.63943615         -5.08005156
0.32067932          0.63884900          0.63884369         -5.08005156
0.32167832          0.63825249          0.63824718         -5.08005156
0.32267732          0.63765198          0.63764668         -5.08005156
0.32367632          0.63704751          0.63704221         -5.08005156
0.32467532          0.63643911          0.63643382         -5.08005156
0.32567433          0.63582684          0.63582155         -5.08005156
0.32667333          0.63521072          0.63520543         -5.08005156
0.32767233          0.63459079          0.63458551         -5.08005156
0.32867133          0.63396710          0.63396183         -5.08005156
0.32967033          0.63333968          0.63333441         -5.08005156
0.33066933          0.63270856          0.63270330         -5.08005156
0.33166833          0.63207379          0.63206853         -5.08005156
0.33266733          0.63143540          0.63143014         -5.08005156
0.33366633          0.63079342          0.63078817         -5.08005156
0.33466533          0.63014789          0.63014265         -5.08005156
0.33566434          0.62949885          0.62949362         -5.08005156
0.33666334          0.62884634          0.62884111         -5.08005156
0.33766234          0.62819038          0.62818515         -5.08005156
0.33866134          0.62753101          0.62752579         -5.08005156
0.33966034          0.62686826          0.62686305         -5.08005156
0.34065934          0.62620218          0.62619697         -5.08005156
0.34165834          0.62553278          0.62552758         -5.08005156
0.34265734          0.62486011          0.62485491         -5.08005156
0.34365634          0.62418419          0.62417900         -5.08005156
0.34465534          0.62350506          0.62349988         -5.08005156
0.34565435          0.62282276          0.62281758         -5.08005156
0.34665335          0.62213731          0.62213213         -5.08005156
0.34765235          0.62144874          0.62144357         -5.08005156
0.34865135          0.62075708          0.62075192         -5.08005156
0.34965035          0.62006237          0.62005721         -5.08005156
0.35064935          0.61936464          0.61935949         -5.08005156
0.35164835          0.61866391          0.61865876         -5.08005156
0.35264735          0.61796022          0.61795508         -5.08005156
0.35364635          0.61725359          0.61724846         -5.08005156
0.35464535          0.61654406          0.61653893         -5.08005156
0.35564436          0.61583164          0.61582652         -5.08005156
0.35664336          0.61511639          0.61511127         -5.08005156
0.35764236          0.61439831          0.61439320         -5.08005156
0.35864136          0.61367744          0.61367233         -5.08005156
0.35964036          0.61295380          0.61294870         -5.08005156
0.36063936          0.61222743          0.61222234         -5.08005156
0.36163836          0.61149835          0.61149326         -5.08005156
0.36263736          0.61076658          0.61076150         -5.08005156
0.36363636          0.61003216          0.61002709         -5.08005156
0.36463536          0.60929512          0.60929005         -5.08005156
0.36563437          0.60855546          0.60855040         -5.08005156
0.36663337          0.60781323          0.60780818         -5.08005156
0.36763237          0.60706845          0.60706340         -5.08005156
0.36863137          0.60632114          0.60631610         -5.08005156
0.36963037          0.60557133          0.60556629         -5.08005156
0.37062937          0.60481904          0.60481401         -5.08005156
0.37162837          0.60406430          0.60405928         -5.08005156
0.37262737          0.60330714          0.60330212         -5.08005156
0.37362637          0.60254757          0.60254256         -5.08005156
0.37462537          0.60178562          0.60178061         -5.08005156
0.37562438          0.60102131          0.60101631         -5.08005156
0.37662338          0.60025468          0.60024968         -5.08005156
0.37762238          0.59948573          0.59948074         -5.08005156
0.37862138          0.59871449          0.59870952         -5.08005156
0.37962038          0.59794100          0.59793602         -5.08005156
0.38061938          0.59716526          0.59716029         -5.08005156
0.38161838          0.59638730          0.59638234         -5.08005156
0.38261738          0.59560715          0.59560220         -5.08005156
0.38361638          0.59482482          0.59481987         -5.08005156
0.38461538          0.59404034          0.59403540         -5.08005156
0.38561439          0.59325372          0.59324879         -5.08005156
0.38661339          0.59246500          0.59246007         -5.08005156
0.38761239          0.59167418          0.59166926         -5.08005156
0.38861139          0.59088130          0.59087639         -5.08005156
0.38961039          0.59008637          0.59008146         -5.08005156
0.39060939          0.58928941          0.58928451         -5.08005156
0.39160839          0.58849044          0.58848555         -5.08005156
0.39260739          0.58768949          0.58768460         -5.08005156
0.39360639          0.58688656          0.58688168         -5.08005156
0.39460539          0.58608169          0.58607681         -5.08005156
0.39560440          0.58527489          0.58527002         -5.08005156
0.39660340          0.58446617          0.58446131         -5.08005156
0.39760240          0.58365557          0.58365072         -5.08005156
0.39860140          0.58284310          0.58283825         -5.08005156
0.39960040          0.58202877          0.58202393         -5.08005156
0.40059940          0.58121260          0.58120777         -5.08005156
0.40159840          0.58039462          0.58038980         -5.08005156
0.40259740          0.57957484          0.57957002         -5.08005156
0.40359640          0.57875328          0.57874847         -5.08005156
0.40459540          0.57792996          0.57792515         -5.08005156
0.40559441          0.57710489          0.57710009         -5.08005156
0.40659341          0.57627809          0.57627329         -5.08005156
0.40759241          0.57544958          0.57544479         -5.08005156
0.40859141          0.57461937          0.57461459         -5.08005156
0.40959041          0.57378749          0.57378272         -5.08005156
0.41058941          0.57295395          0.57294918         -5.08005156
0.41158841          0.57211876          0.57211400         -5.08005156
0.41258741          0.57128195          0.57127720         -5.08005156
0.41358641          0.57044352          0.57043878         -5.08005156
0.41458541          0.56960350          0.56959876         -5.08005156
0.41558442          0.56876190          0.56875717         -5.08005156
0.41658342          0.56791873          0.56791401         -5.08005156
0.41758242          0.56707402          0.56706930         -5.08005156
0.41858142          0.56622777          0.56622306         -5.08005156
0.41958042          0.56538000          0.56537530         -5.08005156
0.42057942          0.56453073          0.56452604         -5.08005156
0.42157842          0.56367998          0.56367529         -5.08005156
0.42257742          0.56282775          0.56282307         -5.08005156
0.42357642          0.56197406          0.56196938         -5.08005156
0.42457542          0.56111893          0.56111426         -5.08005156
0.42557443          0.56026236          0.56025770         -5.08005156
0.42657343          0.55940439          0.55939973         -5.08005156
0.42757243          0.55854501          0.55854036         -5.08005156
0.42857143          0.55768424          0.55767960         -5.08005156
0.42957043          0.55682210          0.55681747         -5.08005156
0.43056943          0.55595860          0.55595398         -5.08005156
0.43156843          0.55509376          0.55508914         -5.08005156
0.43256743          0.55422758          0.55422297         -5.08005156
0.43356643          0.55336008          0.55335548         -5.08005156
0.43456543          0.55249127          0.55248668         -5.08005156
0.43556444          0.55162117          0.55161658         -5.08005156
0.43656344          0.55074979          0.55074521         -5.08005156
0.43756244          0.54987714          0.54987257         -5.08005156
0.43856144          0.54900324          0.54899867         -5.08005156
0.43956044          0.54812809          0.54812353         -5.08005156
0.44055944          0.54725171          0.54724716         -5.08005156
0.44155844          0.54637412          0.54636957         -5.08005156
0.44255744          0.54549531          0.54549078         -5.08005155
0.44355644          0.54461532          0.54461079         -5.08005155
0.44455544          0.54373414          0.54372962         -5.08005155
0.44555445          0.54285179          0.54284727         -5.08005155
0.44655345          0.54196828          0.54196377         -5.08005155
0.44755245          0.54108362          0.54107912         -5.08005155
0.44855145          0.54019783          0.54019334         -5.08005155
0.44955045          0.53931091          0.53930643         -5.08005155
0.45054945          0.53842288          0.53841840         -5.08005155
0.45154845          0.53753374          0.53752927         -5.08005155
0.45254745          0.53664352          0.53663906         -5.08005155
0.45354645          0.53575221          0.53574776         -5.08005155
0.45454545          0.53485984          0.53485539         -5.08005155
0.45554446          0.53396640          0.53396196         -5.08005155
0.45654346          0.53307191          0.53306748         -5.08005155
0.45754246          0.53217639          0.53217196         -5.08005155
0.45854146          0.53127984          0.53127542         -5.08005155
0.45954046          0.53038227          0.53037786         -5.08005155
0.46053946          0.52948369          0.52947929         -5.08005155
0.46153846          0.52858412          0.52857972         -5.08005155
0.46253746          0.52768355          0.52767917         -5.08005155
0.46353646          0.52678201          0.52677763         -5.08005155
0.46453546          0.52587950          0.52587513         -5.08005155
0.46553447          0.52497603          0.52497167         -5.08005155
0.46653347          0.52407162          0.52406726         -5.08005155
0.46753247          0.52316626          0.52316191         -5.08005155
0.46853147          0.52225997          0.52225563         -5.08005155
0.46953047          0.52135276          0.52134843         -5.08005155
0.47052947          0.52044464          0.52044032         -5.08005155
0.47152847          0.51953562          0.51953130         -5.08005155
0.47252747          0.51862570          0.51862139         -5.08005155
0.47352647          0.51771490          0.51771059         -5.08005155
0.47452547          0.51680322          0.51679892         -5.08005155
0.47552448          0.51589068          0.51588638         -5.08005155
0.47652348          0.51497727          0.51497299         -5.08005155
0.47752248          0.51406301          0.51405874         -5.08005155
0.47852148          0.51314792          0.51314365         -5.08005155
0.47952048          0.51223199          0.51222773         -5.08005155
0.48051948          0.51131523          0.51131098         -5.08005155
0.48151848          0.51039766          0.51039341         -5.08005155
0.48251748          0.50947927          0.50947504         -5.08005155
0.48351648          0.50856009          0.50855586         -5.08005155
0.48451548          0.50764011          0.50763589         -5.08005155
0.48551449          0.50671935          0.50671514         -5.08005155
0.48651349          0.50579781          0.50579361         -5.08005155
0.48751249          0.50487550          0.50487131         -5.08005155
0.48851149          0.50395243          0.50394824         -5.08005155
0.48951049          0.50302861          0.50302443         -5.08005155
0.49050949          0.50210404          0.50209986         -5.08005155
0.49150849          0.50117873          0.50117456         -5.08005155
0.49250749          0.50025269          0.50024852         -5.08005155
0.49350649          0.49932592          0.49932176         -5.08005155
0.49450549          0.49839843          0.49839429         -5.08005155
0.49550450          0.49747024          0.49746610         -5.08005155
0.49650350          0.49654134          0.49653721         -5.08005155
0.49750250          0.49561174          0.49560762         -5.08005155
0.49850150          0.49468146          0.49467734         -5.08005155
0.49950050          0.49375049          0.49374638         -5.08005155
0.50049950          0.49281885          0.49281475         -5.08005155
0.50149850          0.49188653          0.49188244         -5.08005155
0.50249750          0.49095356          0.49094948         -5.08005155
0.50349650          0.49001993          0.49001585         -5.08005155
0.50449550          0.48908565          0.48908158         -5.08005155
0.50549451          0.48815073          0.48814667         -5.08005155
0.50649351          0.48721517          0.48721112         -5.08005155
0.50749251          0.48627898          0.48627493         -5.08005155
0.50849151          0.48534216          0.48533813         -5.08005155
0.50949051          0.48440473          0.48440070         -5.08005155
0.51048951          0.48346669          0.48346267         -5.08005155
0.51148851          0.48252804          0.48252403         -5.08005155
0.51248751          0.48158879          0.48158479         -5.08005155
0.51348651          0.48064895          0.48064496         -5.08005155
0.51448551          0.47970852          0.47970453         -5.08005155
0.51548452          0.47876751          0.47876353         -5.08005155
0.51648352          0.47782593          0.47782195         -5.08005155
0.51748252          0.47688377          0.47687980         -5.08005155
0.51848152          0.47594105          0.47593709         -5.08005155
0.51948052          0.47499777          0.47499382         -5.08005155
0.52047952          0.47405393          0.47404999         -5.08005155
0.52147852          0.47310955          0.47310562         -5.08005155
0.52247752          0.47216463          0.47216070         -5.08005155
0.52347652          0.47121917          0.47121525         -5.08005155
0.52447552          0.47027317          0.47026926         -5.08005155
0.52547453          0.46932665          0.46932275         -5.08005155
0.52647353          0.46837961          0.46837572         -5.08005155
0.52747253          0.46743206          0.46742817         -5.08005155
0.52847153          0.46648399          0.46648011         -5.08005155
0.52947053          0.46553542          0.46553154         -5.08005155
0.53046953          0.46458634          0.46458248         -5.08005155
0.53146853          0.46363677          0.46363291         -5.08005155
0.53246753          0.46268671          0.46268286         -5.08005155
0.53346653          0.46173616          0.46173232         -5.08005155
0.53446553          0.46078513          0.46078130         -5.08005155
0.53546454          0.45983363          0.45982981         -5.08005155
0.53646354          0.45888165          0.45887784         -5.08005155
0.53746254          0.45792921          0.45792540         -5.08005155
0.53846154          0.45697630          0.45697250         -5.08005155
0.53946054          0.45602294          0.45601915         -5.08005155
0.54045954          0.45506912          0.45506534         -5.08005155
0.54145854          0.45411486          0.45411108         -5.08005155
0.54245754          0.45316015          0.45315638         -5.08005155
0.54345654          0.45220500          0.45220124         -5.08005155
0.54445554          0.45124941          0.45124566         -5.08005155
0.54545455          0.45029340          0.45028965         -5.08005155
0.54645355          0.44933695          0.44933322         -5.08005155
0.54745255          0.44838009          0.44837636         -5.08005155
0.54845155          0.44742281          0.44741908         -5.08005155
0.54945055          0.44646511          0.44646139         -5.08005155
0.55044955          0.44550700          0.44550329         -5.08005155
0.55144855          0.44454849          0.44454479         -5.08005155
0.55244755          0.44358957          0.44358588         -5.08005155
0.55344655          0.44263025          0.44262657         -5.08005155
0.55444555          0.44167055          0.44166687         -5.08005155
0.55544456          0.44071045          0.44070678         -5.08005155
0.55644356          0.43974996          0.43974631         -5.08005155
0.55744256          0.43878910          0.43878545         -5.08005155
